Date,Close,High,Low,Open,Volume
,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK,BBNI.JK
2023-08-28,3985.48193359375,4007.3801859761334,3974.532807402559,3985.4819335937505,21944400
2023-08-29,4007.38037109375,4029.2786244877047,3985.482117699795,3985.482117699795,49788000
2023-08-30,4029.278564453125,4073.075070588485,4018.329437919285,4018.329437919285,83251800
2023-08-31,4018.329345703125,4051.1767245508345,4018.329345703125,4029.2784719856945,64007200
2023-09-01,4018.329345703125,4040.2275982682645,4018.329345703125,4029.2784719856945,16703400
2023-09-04,4138.77001953125,4171.617400638641,4029.27874917328,4051.177003244874,146903600
2023-09-05,4215.41357421875,4248.260952719156,4138.769691051137,4138.769691051137,100659200
2023-09-06,4193.515625,4237.312132832898,4193.515625,4237.312132832898,60567600
2023-09-07,4160.66796875,4193.515347450658,4116.87146381579,4193.515347450658,52556600
2023-09-08,4105.92236328125,4160.667994791666,4094.9732369791664,4160.667994791666,49974400
2023-09-11,4138.77001953125,4160.668273602843,4073.075257316468,4105.922638423859,54934600
2023-09-12,4073.074951171875,4138.769708448841,4073.074951171875,4138.769708448841,53087200
2023-09-13,4094.97314453125,4105.922270586147,4062.125766366561,4084.024018476354,44955600
2023-09-14,4138.77001953125,4160.668273602843,4094.973511388062,4116.871765459656,57207600
2023-09-15,4149.71875,4171.6170019788915,4127.820498021108,4138.769624010554,73345200
2023-09-18,4094.97314453125,4160.667900860629,4094.97314453125,4149.718774805732,32816000
2023-09-19,4138.77001953125,4171.617400638641,4094.973511388062,4105.922638423859,26575600
2023-09-20,4193.515625,4237.312132832898,4138.769990208877,4138.769990208877,82221800
2023-09-21,4204.46435546875,4237.31173324585,4182.56610361735,4193.51522954305,56156800
2023-09-22,4270.1591796875,4324.904810196314,4204.464423076924,4226.362675280449,93225000
2023-09-25,4401.548828125,4401.548828125,4270.159310867537,4270.159310867537,110954800
2023-09-26,4368.701171875,4423.4468005952385,4357.752046130952,4412.497674851191,127165000
2023-09-27,4434.396484375,4478.192992862654,4357.752594521605,4368.701721643519,92088000
2023-09-29,4521.9892578125,4565.785763941435,4445.345372086865,4456.294498619098,76949400
2023-10-02,4511.0400390625,4598.633049529733,4511.0400390625,4521.989165370905,52562400
2023-10-03,4565.78564453125,4576.734770777129,4521.989139547737,4532.938265793615,49593400
2023-10-04,4543.8876953125,4587.684203219127,4489.142060429217,4576.73507624247,57958800
2023-10-05,4543.8876953125,4554.836822289157,4532.938568335843,4554.836822289157,69727000
2023-10-06,4554.83642578125,4576.734677828275,4532.938173734225,4576.734677828275,41840100
2023-10-09,4467.24365234375,4554.836665134804,4423.447145948223,4554.836665134804,55808900
2023-10-10,4554.83642578125,4554.83642578125,4511.039921687199,4532.938173734225,27090900
2023-10-11,4532.9384765625,4554.836730072464,4511.040223052536,4554.836730072464,63713600
2023-10-12,4664.328125,4751.921141431925,4554.836854460094,4554.836854460094,71485100
2023-10-13,4532.9384765625,4708.12450464221,4532.9384765625,4686.226251132247,49138900
2023-10-16,4554.83642578125,4620.531181922326,4511.039921687199,4554.83642578125,35029400
2023-10-17,4554.83642578125,4576.734677828275,4511.039921687199,4554.83642578125,29834000
2023-10-18,4489.14208984375,4576.735106230945,4467.243835746951,4554.836852134146,46027500
2023-10-19,4327.0947265625,4467.243543617156,4292.057522298836,4467.243543617156,96750500
2023-10-20,4353.37255859375,4401.548713668731,4300.8167530574065,4327.094655825578,48517500
2023-10-23,4370.89111328125,4423.446918250564,4335.853909968374,4353.372511624812,36582200
2023-10-24,4379.65087890625,4445.345642089844,4353.372973632812,4379.65087890625,43655100
2023-10-25,4353.37255859375,4423.4469659755405,4344.613257671026,4423.4469659755405,49108000
2023-10-26,4274.5390625,4370.891377433401,4230.74255571209,4362.132076075819,77078100
2023-10-27,4248.26123046875,4292.057737999356,4248.26123046875,4274.539134987113,39350600
2023-10-30,4248.26123046875,4257.020531974871,4213.2240244442655,4248.26123046875,34312600
2023-10-31,4195.705078125,4248.26088286143,4134.389972599165,4248.26088286143,62061200
2023-11-01,4221.98291015625,4318.335217234504,4195.7050082258165,4318.335217234504,58008400
2023-11-02,4265.77978515625,4309.576292190709,4213.2239767149,4221.983278121792,61528700
2023-11-03,4283.29833984375,4327.09484638612,4274.539038535277,4300.816942460698,37333500
2023-11-06,4353.37255859375,4379.650461361922,4327.094655825578,4362.131859516474,54278500
2023-11-07,4327.0947265625,4353.372629760248,4300.816823364752,4353.372629760248,38213600
2023-11-08,4274.5390625,4335.8541720030735,4257.020459784836,4327.094870645492,30691100
2023-11-09,4257.0205078125,4335.854220920139,4257.0205078125,4274.539110725309,32999400
2023-11-10,4257.0205078125,4265.7798092689045,4221.983301986883,4257.0205078125,37753900
2023-11-13,4283.29833984375,4300.816942460698,4265.779737226802,4283.29833984375,17199700
2023-11-14,4274.5390625,4327.094870645492,4274.5390625,4300.8169665727455,27961100
2023-11-15,4362.1318359375,4401.548689876694,4344.613234186747,4353.3725350621235,93350800
2023-11-16,4335.85400390625,4370.89120797822,4300.816799834281,4353.372605942235,38121600
2023-11-17,4362.1318359375,4370.8911368128765,4292.057428934488,4327.094632435994,48489500
2023-11-20,4362.1318359375,4401.548689876694,4353.3725350621235,4379.650437688253,52108800
2023-11-21,4445.34521484375,4467.2434671336205,4370.8911570581895,4379.650457974138,129449900
2023-11-22,4445.34521484375,4467.2434671336205,4401.548710264009,4467.2434671336205,28872800
2023-11-23,4511.0400390625,4532.938291679308,4445.345281212075,4467.243533828883,80157000
2023-11-24,4554.83642578125,4598.632929875301,4532.938173734225,4532.938173734225,61211100
2023-11-27,4620.53125,4686.226007109005,4576.734745260664,4576.734745260664,79553000
2023-11-28,4532.9384765625,4686.226251132247,4532.9384765625,4686.226251132247,43142000
2023-11-29,4576.73486328125,4576.73486328125,4467.24359860945,4489.14185154381,48041400
2023-11-30,4620.53125,4620.53125,4511.039988151659,4511.039988151659,127524100
2023-12-01,4598.63330078125,4642.429808407738,4554.836793154762,4642.429808407738,31223300
2023-12-04,4642.4296875,4686.226193985849,4598.633181014151,4620.5314342570755,34104500
2023-12-05,4642.4296875,4664.3279407429245,4576.7349277712265,4642.4296875,29788300
2023-12-06,4576.73486328125,4664.32787501869,4576.73486328125,4642.429622084331,32453700
2023-12-07,4620.53125,4642.429502369669,4511.039988151659,4576.734745260664,36511000
2023-12-08,4445.34521484375,4576.734728582975,4445.34521484375,4554.836476293103,47842200
2023-12-11,4532.9384765625,4554.836730072464,4423.447209012681,4445.345462522645,36394800
2023-12-12,4620.53125,4642.429502369669,4576.734745260664,4598.632997630332,40554100
2023-12-13,4532.9384765625,4620.531490602355,4489.141969542573,4620.531490602355,39240500
2023-12-14,4686.22607421875,4730.02257958528,4576.734810802424,4576.734810802424,85061100
